gx,gy,gz,ax,ay,az,label
32442748,-6885496,-33519084,-18554688,-19506836,10344238,1
-4274809,488549632,-26717558,-1274414,2709961,9055176,0
465648868,91496184,-6725191,37231444,-19555664,15429688,10
0,9312977,-22900764,-12573242,18798828,90893552,0
55419844,-5412214,-47099236,-14501953,24169922,91748052,0
-21503816,-78900768,-11364886,-56152344,-167968752,1001709,1
-31656488,-1748855,78221376,-31982422,79003908,-3251953,1
7633588,77099232,-16793894,-13500976,18066406,89941408,0
-33755724,-5127481,14045801,17089844,-34057616,11103516,10
-48190836,-7541222,-7778626,2133789,-1328125,7651367,10
54412212,10078626,17610688,1081543,71777348,46069336,10
-40389312,-40870228,33587788,4699707,-3330078,53710936,10
-29007636,20458016,-32824428,-12451172,175781252,89501952,0
32564884,57458016,10358779,2705078,-25439452,56152344,10
-7633588,778625968,-13740458,-12109375,27832032,88842776,0
45801528,-83206104,-9541985,-11694336,29785156,8935547,0
-16793894,10,-3816794,-1315918,2709961,898681664,0
-15267176,2519084,-221374052,-13696289,19042968,9001465,0
36816796,14261068,-63206104,33007812,-13134766,15893554,10
24580152,-2193893,-38664124,-24902344,-2277832,8234863,1
62267172,65091608,30687022,16186524,-3930664,482666016,10
-6870229,10305344,-221374052,-13330078,26855468,890625,0
74854968,4551145,42900764,-115722652,-793457,16262207,10
22900764,6946565,53435112,-12084961,2734375,904785136,0
-124458016,-1389313,-11992367,1977539,34179688,6542969,10
-5532061,-8612214,-38625954,115234376,-1665039,838134768,10
-229007632,-198473292,15267176,-1171875,3149414,8876953,0
-37076336,-6635878,-18351144,239257808,-123291016,59936524,10
21450382,4325954,1848855,21118164,-13476562,6213379,10
-18580152,-43931296,-6328244,-63476564,-25463868,10610352,10
-61068704,71755732,-14503818,-13574219,1953125,8984375,0
-54862596,-8321374,-10351145,9643555,-38842772,74731448,10
-6870229,15267176,-183206116,-13647461,25146484,9001465,0
21450382,11564885,122595416,-11621094,-529541,94140624,1
15770992,-8267176,-97786252,35546876,-24267578,6010742,10
-194656492,10587787,60152676,-50048828,5515137,10234375,1
-4274809,488549632,-26717558,-1274414,2709961,9055176,0
22137404,-48320612,-41351148,-14282226,-12451172,9494629,1
9122137,11564885,-12045801,-16723633,342041032,6296387,1
6832061,68908392,26335878,49560548,-21972656,9748535,10
15267176,1038168,99236648,-13452148,24658204,900634736,0
-21068702,-15893129,-21145038,41992188,-16333008,33203124,10
-129771,9389313,-8396947,-12182617,26123046,9030762,0
-8131298,-15078626,-18396946,-6542969,-14282226,12546387,10
-7633588,10305344,-6870229,-13549804,22216796,8913574,0
-45801528,-21374046,-99236648,-12915039,21972656,900634736,0
36755724,26778626,90175576,-19482422,-78344728,13041992,1
21137406,40305344,-29992366,-24414062,4296875,10644531,1
9361069,11874809,-356488536,8984375,-99609376,10463867,10
-31603052,20648856,43610688,-1730957,-4182129,87280268,1
-58778624,13206106,-32824428,-1237793,28320312,89501952,0
-91603052,13053435,8396947,-118652344,253906252,9050293,0
9898473,11162595,11160305,26611328,-7885742,11203613,10
-129771,7633588,-198473292,-13134766,21240234,89501952,0
20549618,54717556,758015236,21362304,-25854492,8659668,10
-14503818,13969466,-229007632,-14282226,18066406,90527348,0
-7633588,15496184,610687,-15185547,48828124,92749024,0
7369466,9599236,21030534,28979492,-2770996,2932129,10
129771,86259544,-99236648,-12646484,1953125,9057617,0
0,13206106,-229007632,-12573242,23925782,89697268,0
-732824436,5801527,-6870229,-13232422,234375,8972168,0
25801528,-39847328,32366412,28808594,5102539,78344728,1
-2501374,62099236,-15045038,-14990234,5827637,12692871,1
-91603052,610687,-7633588,-13476562,23925782,90405272,0
8664123,-4683206,-31305344,-1928711,23413086,10041504,1
-7633588,15496184,610687,-15185547,48828124,92749024,0
-16030534,488549632,-15267176,-123046872,29541016,8967285,0
-30839694,870229,-3816794,-13623047,14892578,8876953,0
61068704,14885496,-6870229,-1352539,19042968,89746092,0
-33419844,-21175574,-13167939,32861328,-32739258,6179199,10
-47229008,-8131298,-67099236,25927734,-29638672,59228516,10
3282443,14832061,-34198476,-21020508,16040039,9707031,1
-183206116,6946565,53435112,-12939453,22460938,9033203,0
-221374052,10152671,1908397,-13012696,2319336,8886719,0
-14351145,2310687,1438168,-17358398,3930664,800781236,1
6229771,7467175,480916032,68847656,-766601536,12592774,10
-24137406,43053436,-38351148,3269043,-6335449,-15380859,10
4382443,669771,13473283,13842774,-107177736,10390625,10
8232061,2287023,-35419848,-690918,-21679688,15112305,10
66564884,-16969466,9854961,-1027832,15625,16992188,10
-10687023,8167939,-61068704,-12475586,28320312,9042969,0
10312977,10427481,3189313,-10131836,25219728,9160156,1
-13001528,-16267176,-23909924,-732421868,11628418,9736328,1
-183206116,10534351,-30534352,-13500976,1977539,8918457,0
710687,123862592,59923664,-795898436,-15429688,14128418,10
7551908,11862596,16259542,-11206055,-20288086,14562988,10
74854968,4551145,42900764,-115722652,-793457,16262207,10
29122138,7669466,6183206,22094726,16357422,40625,10
11282443,29374046,21770992,-5029297,-3708496,954834,10
36709924,-1378626,-5216794,41259764,-9814453,6887207,1
36870228,-9793893,-54374048,9838867,2919922,10795898,1
14361068,16874046,53129772,-234375,8618164,10593262,10
-53435112,396946584,-412213736,-13061524,234375,90112308,0
-18396946,-3610687,-2038168,-1315918,17333984,907959,0
27045802,-19505344,-10932825,-19458008,-2783203,5488281,1
-16793894,6870229,-99236648,-12573242,234375,90283204,0
11717557,9732824,4017557,-43945312,-22583008,10437012,1
15267176,11526718,-8396947,-13183594,24902344,89746092,0
458015268,58778624,53435112,-12060547,18066406,9055176,0
15517556,16914504,32549616,-114990232,-246582032,9741211,10
32824428,18091604,-16099238,-17871094,-4428711,98168948,1
-28244276,26793892,-236641232,-118652344,28076172,90185544,0
-16793894,7557252,-1908397,-12670898,21240234,9033203,0
1908397,-129771,-91603052,-12597656,214843736,8979492,0
-1808397,9977099,-7371756,-13793946,28588868,6801758,1
26412212,480916,-33038166,-5126953,-28564452,10332031,1
66564884,-16969466,9854961,-1027832,15625,16992188,10
-24213742,-7725191,-33267172,-5517578,99365232,9831543,1
8865649,5846565,27534352,-8618164,-24414062,1628418,10
13938931,20274808,-49465648,31982422,-3671875,38745116,10
-13656488,356488536,12664123,-21606446,-11401367,9777832,1
-7836641,-10200764,-97786252,8984375,-2368164,86816408,10
7236641,-7287023,-10274809,28881836,-11767578,1328125,10
53435112,11145039,15267176,-12182617,21240234,9020996,0
15517556,16914504,32549616,-114990232,-246582032,9741211,10
-129771,7633588,-198473292,-13134766,21240234,89501952,0
-991145,-9352672,-53816796,-12939453,-48828124,10900879,10
-22900764,45038168,-1908397,-13549804,20751954,900634736,0
-43717556,-8099236,-115801528,-1586914,-24853516,829834,10
529771,-30015266,-40137404,-14038086,11254883,9226074,1
-51190836,-7127481,-4778626,30151368,-3154297,4765625,10
7633588,7480916,-6870229,-13574219,24902344,8874512,0
-690458,-11444275,-16694656,1303711,-16918946,89086916,10
-10687023,977099264,3816794,-11401367,24414062,9091797,0
-12938931,2593893,6833588,-1159668,10964356,78564456,1
32564884,57458016,10358779,2705078,-25439452,56152344,10
28114504,69938936,45648856,33569336,-32543944,5102539,10
-129771,40458016,-198473292,-13305664,28320312,9020996,0
6832061,68908392,26335878,49560548,-21972656,9748535,10
-10458015,440458,2476336,-1887207,30273438,900634736,1
100,-4553435,-79694652,207519532,-2841797,8208008,10
-4152672,-9315267,-69694652,107421868,-14086914,11945801,10
-10270229,13503816,-180519084,16601562,1999939,95092776,1
-47419844,-55312976,-17587786,4519043,-29858398,13427734,10
-51862596,-3835878,172519084,-107421868,53710936,11582031,10
-7633588,17557252,-45801528,-14208984,23925782,89819336,0
291984732,-2493893,9839695,-83496092,3955078,954101568,0
3816794,191603052,732824436,-13500976,20996094,9016113,0
73091608,10523664,35480916,-230712892,-2368164,12109375,1
2667939,-244274816,-71419848,-24414062,-31689452,707031236,1
-2187023,-14167939,-51160304,-61523436,20996094,74902344,1
-20732824,74274808,29541984,374267568,-23168946,18066406,10
-1808397,9977099,-7371756,-13793946,28588868,6801758,1
49770992,-19022902,-16160305,2722168,43701172,98461912,10
-10687023,8167939,-61068704,-12475586,28320312,9042969,0
-10885496,28396948,-9236641,-119384768,230957032,7937012,1
961832064,-16462596,-2501374,-43164062,-62768552,1072998,1
99236643,870229,-396946584,-12402344,20507812,88427736,0
-77099232,169465652,-28549618,-12402344,24902344,8718262,0
-12683206,-57816796,-10007633,703125,-24121094,-38916016,10
-3414504,-42091604,-10541985,-8056641,-12036133,1119873,10
11833588,2361832,-47564884,8862305,97753908,4182129,1
-221374052,10152671,1908397,-13012696,2319336,8886719,0
-19549618,-1221374,-185572516,-12841797,-21728516,13979492,10
-1667939,-14137404,-4432061,-64941408,5576172,8901367,1
45801528,9847328,-3129771,-11816406,21972656,8996582,0
9963359,11683206,1680916,253906252,-13842774,13500976,10
-16793894,9694657,0,-11230469,3540039,8979492,0
-21374046,5038168,-2977099,-13134766,2709961,8991699,0
19259542,-22206106,-8290076,1809082,-7495117,8696289,10
465648868,91496184,-6725191,37231444,-19555664,15429688,10
498854968,6151145,-35877864,-18310546,-5834961,14179688,10
-3821374,-12274809,66778624,-8300781,27197266,871582032,1
-6870229,10305344,-221374052,-13330078,26855468,890625,0
10751908,112381672,13938931,-21972656,-3466797,13005371,10
-45129772,-12601527,178625952,-2043457,-1105957,14484863,10
73091608,10523664,35480916,-230712892,-2368164,12109375,1
43893128,30671754,-2793893,415039068,-3540039,35620116,10
-91603052,5496183,-7633588,-13647461,28076172,8947754,0
-30480917,-5664122,12717557,-16333008,-1262207,13381348,10
7703817,114198472,45129772,-57617188,-399414036,10688476,1
-122137408,793893168,-229007632,-13671875,24414062,898681664,0
458015268,58778624,53435112,-12060547,18066406,9055176,0
-6854962,-4767939,-8633588,36987304,-14379883,68774416,10
-26770992,-32366412,10748092,43896484,-24902344,24829102,10
7633588,122137408,53435112,-13354492,20019532,8979492,0
-72419848,-8289313,-1606107,19335938,-13916016,7763672,10
-10267176,-7375572,-10503817,44799804,-36450196,70581052,10
-122137408,-229007632,-8396947,-13256836,214843736,8955078,0
13969465,5183206,-40419844,36132812,-16113282,92944332,1
16351144,406030536,92213748,222412116,-16137696,8078613,10
-59847324,-9160305,42366412,-8276367,-33691408,9289551,1
-32061068,9160305,-13740458,-12011719,17089844,892334,0
-37862596,-538854968,-11664123,14013672,-33618164,7763672,10
102771,-36732828,-52541984,-9667969,11484375,115478516,1
-183206116,10229008,7633588,-13647461,1928711,89208984,0
-1776336,-20351144,-8137404,388916,-3010254,396484384,10
-48190836,-7541222,-7778626,2133789,-1328125,7651367,10
-7925191,-811145,-3740458,2590332,-12915039,65112304,10
-15267176,4221374,33351148,-18017578,444824232,963134768,1
-45564884,-44717556,51374044,-8203125,-17114258,12966308,10
17717558,42427484,16625954,8520508,-19702148,10830078,10
473282468,54198476,-221374052,-119628904,2368164,8972168,0
35114504,6335878,259542,-12670898,20019532,9157715,0
-91603052,5496183,-7633588,-13647461,28076172,8947754,0
15816793,10557252,57251908,-15332031,57421876,10671387,1
366412232,182442752,-6870229,-12207031,25634766,907714832,0
13322138,10525191,30450382,-114990232,-7543945,1911377,10
3816794,16793894,8396947,-118896488,23925782,8894043,0
-65343512,22331298,-5844275,-106933592,9416504,14389648,1
498854968,6151145,-35877864,-18310546,-5834961,14179688,10
45496184,-14641221,-10984733,-10864258,3635254,94873048,1
-48190836,-7541222,-7778626,2133789,-1328125,7651367,10
-26717558,7557252,-5496183,-125,24169922,894531264,0
-2501374,11355725,-59687024,-25,198657232,13793946,1
62099236,7871756,53129772,-23925782,-2368164,14772949,10
16793894,68396948,4848855,-27783204,29101562,96362308,1
291984732,-2493893,9839695,-83496092,3955078,954101568,0
-206106868,7480916,-6870229,-1237793,28564454,90283204,0
3923664,19389312,-14198474,42333984,-19335938,23486328,10
-6152672,-13244275,-329771,26245116,-27075196,53344724,10
-13656488,356488536,12664123,-21606446,-11401367,9777832,1
-6442748,-96862592,-1725191,1418457,-15625,8796387,10
77099232,46106872,-78625952,-11694336,21240234,9165039,0
11366412,60305344,-25419848,-8496094,45043944,89501952,1
-14664123,-1819084,-12442748,-22949218,48828124,12556152,10
-51519084,-8891603,-540458,19580078,-27294922,67871096,10
6229771,7467175,480916032,68847656,-766601536,12592774,10
-27267176,-10183207,5221374,31152344,-1394043,61157224,10
-122137408,55725192,-129771,-13110352,17333984,9055176,0
22595418,-16564885,-4665649,12866211,31738282,10236816,1
-53732828,-8979389,-1038168,75683592,-12988281,10786133,10
-24206106,-13740458,1980916,34936524,-1953125,7006836,10
22900764,8549618,-8396947,-12988281,2368164,8952637,0
1832061,4274809,-53435112,-1159668,23925782,8930664,0
8396947,480916032,-28244276,-12890625,26123046,900634736,0
-9563359,-8940458,-15770992,114746092,-14990234,7380371,10
7633588,77099232,-16793894,-13500976,18066406,89941408,0
-5954198,-4351145,458015268,-12084961,29052734,8947754,0
-55725192,-15648855,54885496,-13183594,11962891,9328613,0
-13740458,122137408,-22900764,-11376953,28808594,90356448,0
304427484,20305344,4070229,-13891602,-2265625,10356445,1
61679388,-13358779,-6176336,-15576172,-91308592,7866211,1
47633588,-2501374,228648852,-20,-20,-17358398,1
14361068,16874046,53129772,-234375,8618164,10593262,10
-6870229,10305344,-221374052,-13330078,26855468,890625,0
-10458015,440458,2476336,-1887207,30273438,900634736,1
28419848,12931297,35267176,-2734375,-6105957,6921387,1
7633588,7480916,-6870229,-13574219,24902344,8874512,0
710687,123862592,59923664,-795898436,-15429688,14128418,10
-16030534,9389313,-30534352,-13549804,25634766,8967285,0
-6870229,473282468,-30534352,-1340332,214843736,8989258,0
14732824,55587788,21847328,13110352,-13867188,42700196,10
52931296,11141222,780916,24658204,-6274414,9433594,10
7325191,13882444,-50458016,7446289,-16015625,7807617,10
29122138,7669466,6183206,22094726,16357422,40625,10
-7252672,-10455725,-45343512,34179688,-99853512,9975586,10
-21374046,5038168,-2977099,-13134766,2709961,8991699,0
8865649,5846565,27534352,-8618164,-24414062,1628418,10
-6854962,-4767939,-8633588,36987304,-14379883,68774416,10
30832062,29778626,40290076,-57861328,27124024,99121096,1
-4351145,16717557,-114503816,-119384768,30517578,8947754,0
0,10,-10687023,-13476562,1953125,8977051,0
-2923664,18931298,-16717557,-13183594,16845704,9399414,0
-15267176,10687023,-91603052,-1315918,18554688,91015624,0
-13740458,10,-7633588,-11987305,20751954,89746092,0
-7633588,15267176,1908397,-123046872,22460938,90283204,0
55664124,9303817,-7557252,10668945,-16015625,8129883,10
-61068704,1908397,-14656489,-13696289,1953125,8898926,0
-16030534,55725192,-27480916,-13769531,22216796,8930664,0
40839696,-21145038,-10534351,56640624,-14111328,12109375,10
31755726,13091603,45648856,-12963867,-222167968,10073242,1
10610686,-49923664,-40839696,-14208984,107421868,89038088,0
-12900764,1221374,30145038,-26000976,5319824,6750488,1
-10368702,-1397939,-11748092,-33447264,-13793946,11813965,10
-91603052,13053435,8396947,-118652344,253906252,9050293,0
62671756,-7064886,-12172519,-1328125,-2199707,76782224,1
291984732,-2493893,9839695,-83496092,3955078,954101568,0
1208855,82854968,11946565,-7055664,-33325196,14990234,10
15267176,5801527,-244274816,-140625,24414062,9020996,0
-12549619,3593893,-24580152,21582031,12841797,10161133,10
-114503816,29007636,221374052,-12475586,1977539,89990232,0
17465648,1761832,-69160308,-1940918,28442384,89208984,1
-24206106,-13740458,1980916,34936524,-1953125,7006836,10
15267176,12290076,45038168,-12524414,25146484,9042969,0
-16793894,6870229,-99236648,-12573242,234375,90283204,0
-53435112,40458016,7633588,-11206055,22949218,9003906,0
-13819084,-18767176,-18412214,61035156,-63964844,11386719,10
343511468,8244275,8396947,-13061524,214843736,9033203,0
-29412214,-10992366,35389312,-182617184,12060547,907714832,1
7739695,5710687,14282443,-9790039,-20458984,13300781,10
-20725192,-14656489,-60992364,2397461,-3515625,22143554,10
-29740458,-12122137,3740458,3347168,-1586914,34765624,10
19862594,-8885496,21221372,-30761718,-111083984,16025391,10
2870229,20832062,-9396947,-43701172,-2434082,14614258,10
29664122,60244276,-3351145,-8129883,-36376952,12451172,10
-2977099,14351145,15267176,-115234376,234375,9057617,0
-11783206,7296947,13990076,-57373048,10644531,26879884,1
-54732824,11794656,-2712977,2277832,-3100586,213867184,10
-13442748,24877862,-25877862,-13232422,-20239258,10756836,1
270229,8167939,-17038168,-8691406,29296876,8544922,1
-122137408,-229007632,-8396947,-13256836,214843736,8955078,0
-2519084,52671752,-7633588,-13305664,22216796,900634736,0
35335876,55748092,7819847,8886719,46875,9682617,1
-259542,67175576,-259542,-14038086,1977539,89746092,0
1299313,9083969,3025191,48828124,-175781252,12272949,10
-18396946,-3610687,-2038168,-1315918,17333984,907959,0
-15267176,8167939,-122137408,-12915039,2709961,90625,0
-12787786,-2501374,-2501374,-167797852,-199780268,10883789,1
55419844,-5412214,-47099236,-14501953,24169922,91748052,0
-16793894,9389313,-7633588,-1381836,18554688,8955078,0
-198473292,778625968,-259542,-13793946,25634766,88842776,0
-2501374,62099236,-15045038,-14990234,5827637,12692871,1
-26770992,-32366412,10748092,43896484,-24902344,24829102,10
14732824,55587788,21847328,13110352,-13867188,42700196,10
16351144,406030536,92213748,222412116,-16137696,8078613,10
6934351,8147328,-26335878,-122558592,37109376,16333008,10
22259542,9846565,19694656,191894532,43945312,6152344,10
9963359,11683206,1680916,253906252,-13842774,13500976,10
-15254962,41007632,-5247328,437744136,7416992,79003908,1
7174809,11648855,23770992,-9863281,-795898436,11494141,10
-206106868,7480916,-6870229,-1237793,28564454,90283204,0
11366412,60305344,-25419848,-8496094,45043944,89501952,1
-7319847,-8939695,13717557,-1303711,-1472168,16027832,10
71603052,-1129771,45480916,-9033203,-3857422,11152344,1
22671756,-20839694,8206107,-14575196,6040039,917968736,1
-8091603,11145039,-40458016,-14013672,22216796,91015624,0
14782444,22796184,12694656,-20898438,-5834961,15603027,10
7153435,-41427484,-15862596,-12524414,16601562,88500976,0
-179389316,2053435,519084,-12158203,253906252,88916016,0
-4127481,-6548092,4274809,64697268,0,9902344,10
-3291603,-62778624,3053435,12451172,-637207,97998052,10
2948855,5517557,-24122138,-6323242,-366210936,13447266,10
120862592,16451144,26068702,-22949218,-13183594,12463379,10
-221374052,10152671,1908397,-13012696,2319336,8886719,0
15267176,1038168,99236648,-13452148,24658204,900634736,0
-10243511,-12064886,14664123,-9033203,-95703128,11313476,10
2870229,20832062,-9396947,-43701172,-2434082,14614258,10
-770992368,-28221374,-32824428,25512696,-52001952,99316408,10
17992366,41412212,15793893,1508789,-21850586,6455078,10
-4152672,-9315267,-69694652,107421868,-14086914,11945801,10
63053436,99061064,480916,1105957,32714844,7312012,10
-32137404,11992367,57938932,-59570312,-44335938,9658203,1
3448855,-16160305,-3310687,63476564,115722652,65600584,1
9361069,11874809,-356488536,8984375,-99609376,10463867,10
58702292,13992367,4210687,-3371582,3791504,8015137,1
34282444,16206106,-15496184,4663086,118896488,14492188,10
-29534352,-3108397,-19770992,-15942383,10205078,16166992,10
-9030535,-31656488,3279389,-13256836,-2055664,13132324,1
-91603052,793893168,-6870229,-13427734,28076172,8996582,0
-13740458,236641232,-2519084,-10522461,27832032,89501952,0
-11783206,7296947,13990076,-57373048,10644531,26879884,1
12137405,-10961832,-9282443,-26635742,57177732,7001953,1
-9847328,3885496,-365648868,-949707,-61621092,921875,1
7633588,-83206104,0,-115722652,25634766,904541,0
45801528,473282468,-7633588,-13500976,2368164,8972168,0
54412212,10078626,17610688,1081543,71777348,46069336,10
465648868,91496184,-6725191,37231444,-19555664,15429688,10
-129771,7633588,-198473292,-13134766,21240234,89501952,0
-40389312,-40870228,33587788,4699707,-3330078,53710936,10
-91603052,5496183,-7633588,-13647461,28076172,8947754,0
-28244276,6946565,-17557252,-12353516,20996094,90185544,0
-34267172,16847328,29183206,-1616211,-10595703,10595703,0
4274809,-259542,-129771,-13793946,10986328,9067383,0
-12435115,-50732828,-16526718,16967774,-20581054,75683592,10
-22389312,-623969468,-3221374,19555664,-1887207,6887207,10
-6393893,-7048855,-11664123,19750976,-14819336,7404785,10
13740458,740458,-8396947,-13891602,20996094,89282224,0
6870229,1908397,-7633588,-13256836,24414062,90600584,0
-122137408,55725192,-129771,-13110352,17333984,9055176,0
-45694656,-72175576,-3967939,20214844,-14575196,5432129,10
-7874809,-869771,11068702,-12451172,-75683592,10471192,10
-10854961,8549619,24221374,-2084961,-14526367,10769043,1
-6183206,1038168,221374052,-12817383,20263672,8967285,0
2076336,40412212,10654962,-34594728,375,82250976,1
6832061,68908392,26335878,49560548,-21972656,9748535,10
-2923664,18931298,-16717557,-13183594,16845704,9399414,0
6764886,37992368,7664122,-554199232,3395996,15458984,10
-38687024,-57862596,-10335877,-45166016,12451172,13305664,10
120862592,16451144,26068702,-22949218,-13183594,12463379,10
72748092,53511452,-14045801,-6347656,-390625,14226074,10
8633588,55343512,-4451145,-12011719,21240234,9555664,1
36900764,7621374,-16267176,12939453,-44189452,88427736,10
2608397,9203053,13045801,12524414,-21679688,6960449,10
-8589313,-9129008,-184809168,27685548,-15136719,4609375,10
-61068704,-5954198,6870229,-1315918,234375,8972168,0
20389312,6732825,2006107,21801758,-34936524,7089844,10
-20656488,25038168,-7664122,-16137696,-27514648,10471192,1
5264122,29282442,12335877,4638672,-7470703,13696289,10
-10368702,-1397939,-11748092,-33447264,-13793946,11813965,10
3816794,34580152,-610687,-10864258,30517578,8937988,0
26717558,11221374,-236641232,-11743164,234375,89746092,0
17717558,42427484,16625954,8520508,-19702148,10830078,10
-2501374,4452672,-20022902,342041032,1999939,10793457,1
-114503816,-3129771,-14503818,-11816406,234375,90405272,0
-15267176,7251908,-53435112,-13476562,19042968,8967285,0
389312984,221374052,473282468,-13061524,1977539,8967285,0
-1610687,2221374,8396947,-123046872,24169922,90234376,0
2608397,9203053,13045801,12524414,-21679688,6960449,10
43893128,30671754,-2793893,415039068,-3540039,35620116,10
58419844,93862592,-1140458,-12988281,15039062,1451416,10
-36648852,15977099,42015268,45410156,4716797,93774416,1
-3312977,-358778632,-4778626,-11254883,397949216,87475584,0
-229007632,732824436,-16030534,-13574219,175781252,8828125,0
